medcode,clinicalevents,referralevents,testevents,immunisationevents,readcode,readterm,databasebuild
240,575085,10577,1653,0,G3...00,Ischaemic heart disease,Feb-09
24783,684,1,0,0,G3...11,Arteriosclerotic heart disease,Feb-09
20416,2202,9,0,0,G3...12,Atherosclerotic heart disease,Feb-09
1792,129431,2902,9,0,G3...13,IHD - Ischaemic heart disease,Feb-09
241,208861,9926,65,0,G30..00,Acute myocardial infarction,Feb-09
13566,413,6,0,0,G30..11,Attack - heart,Feb-09
2491,3364,153,1,0,G30..12,Coronary thrombosis,Feb-09
30421,146,5,0,0,G30..13,Cardiac rupture following myocardial infarction (MI),Feb-09
1204,4571,256,1,0,G30..14,Heart attack,Feb-09
1677,81001,945,14,0,G30..15,MI - acute myocardial infarction,Feb-09
13571,407,0,0,0,G30..16,Thrombosis - coronary,Feb-09
17689,408,8,0,0,G30..17,Silent myocardial infarction,Feb-09
12139,1578,18,0,0,G300.00,Acute anterolateral infarction,Feb-09
17872,1034,8,0,0,G301100,Acute anteroseptal infarction,Feb-09
40429,93,0,0,0,G301000,Acute anteroapical infarction,Feb-09
14897,2838,10,0,0,G301z00,Anterior myocardial infarction NOS,Feb-09
5387,1951,58,0,0,G301.00,Other specified anterior myocardial infarction,Feb-09
8935,1414,18,0,0,G302.00,Acute inferolateral infarction,Feb-09
29643,447,7,0,0,G303.00,Acute inferoposterior infarction,Feb-09
23892,650,4,0,0,G304.00,Posterior myocardial infarction NOS,Feb-09
14898,502,8,0,0,G305.00,Lateral myocardial infarction NOS,Feb-09
63467,46,0,0,0,G306.00,True posterior myocardial infarction,Feb-09
3704,3162,159,0,0,G307.00,Acute subendocardial infarction,Feb-09
9507,845,11,0,0,G307000,Acute non-Q wave infarction,Feb-09
10562,46915,127,1,0,G307100,Acute non-ST segment elevation myocardial infarction,Feb-09
1678,11530,194,0,0,G308.00,Inferior myocardial infarction NOS,Feb-09
30330,89,0,0,0,G309.00,Acute Q-wave infarct,Feb-09
17133,512,10,0,0,G30A.00,Mural thrombosis,Feb-09
32854,57,0,0,0,G30B.00,Acute posterolateral myocardial infarction,Feb-09
29758,153,5,0,0,G30X.00,Acute transmural myocardial infarction of unspecif site,Feb-09
12229,16069,37,0,0,G30X000,Acute ST segment elevation myocardial infarction,Feb-09
34803,218,0,0,0,G30y.00,Other acute myocardial infarction,Feb-09
41221,154,5,0,0,G30y200,Acute septal infarction,Feb-09
46017,306,0,0,0,G30yz00,Other acute myocardial infarction NOS,Feb-09
62626,3,0,0,0,G30y100,Acute papillary muscle infarction,Feb-09
28736,80,1,0,0,G30y000,Acute atrial infarction,Feb-09
14658,78288,6151,4,0,G30z.00,Acute myocardial infarction NOS,Feb-09
27951,157,5,0,0,G31..00,Other acute and subacute ischaemic heart disease,Feb-09
23579,91,4,0,0,G310.00,Postmyocardial infarction syndrome,Feb-09
15661,506,16,0,0,G310.11,Dressler's syndrome,Feb-09
19655,615,62,0,0,G311.14,Angina at rest,Feb-09
39655,4,0,0,0,G311.12,Impending infarction,Feb-09
1431,34028,5913,3,0,G311.13,Unstable angina,Feb-09
4656,4989,1433,0,0,G311.11,Crescendo angina,Feb-09
36523,2865,567,0,0,G311.00,Preinfarction syndrome,Feb-09
55137,44,0,0,0,G311011,MI - myocardial infarction aborted,Feb-09
61072,52,6,0,0,G311000,Myocardial infarction aborted,Feb-09
7347,23355,1211,0,0,G311100,Unstable angina,Feb-09
17307,1492,128,0,0,G311200,Angina at rest,Feb-09
34328,147,15,0,0,G311300,Refractory angina,Feb-09
18118,2819,411,0,0,G311400,Worsening angina,Feb-09
11983,25212,179,0,0,G311500,Acute coronary syndrome,Feb-09
54251,57,2,0,0,G311z00,Preinfarction syndrome NOS,Feb-09
39449,74,0,0,0,G312.00,Coronary thrombosis not resulting in myocardial infarction,Feb-09
39693,84,3,0,0,G31y200,Subendocardial ischaemia,Feb-09
21844,281,3,0,0,G31y300,Transient myocardial ischaemia,Feb-09
27977,75,1,0,0,G31yz00,Other acute and subacute ischaemic heart disease NOS,Feb-09
9413,92,3,0,0,G31y.00,Other acute and subacute ischaemic heart disease,Feb-09
9276,2426,21,0,0,G31y000,Acute coronary insufficiency,Feb-09
68357,16,0,0,0,G31y100,Microinfarction of heart,Feb-09
4017,9678,243,13,0,G32..00,Old myocardial infarction,Feb-09
